dT	dC	ATP	dTTP	dCTP	VdT	VdC	fg	year	jrnl	vol	page	frstAut	seq	state
0	0.767	2500	0	0	  NA	18.8	4	1991	JBC	266	9032	Munch	wt	monomer
0	2.924	2500	0	0	  NA	69.6	4	1991	JBC	266	9032	Munch	wt	monomer
0	6.075	2500	0	0	  NA	113	4	1991	JBC	266	9032	Munch	wt	monomer
0	10.299	2500	0	0	  NA	207	4	1991	JBC	266	9032	Munch	wt	monomer
0	13.933	2500	0	0	  NA	248	4	1991	JBC	266	9032	Munch	wt	monomer
0	20.201	2500	0	0	  NA	301	4	1991	JBC	266	9032	Munch	wt	monomer
0	28.723	2500	0	0	  NA	405	4	1991	JBC	266	9032	Munch	wt	monomer
0	51.538	2500	0	0	  NA	536	4	1991	JBC	266	9032	Munch	wt	monomer
0	58.846	2500	0	0	  NA	612	4	1991	JBC	266	9032	Munch	wt	monomer
0	103.886	2500	0	0	  NA	695	4	1991	JBC	266	9032	Munch	wt	monomer
0.4	0	2500	0	0	143	   NA	4	1991	JBC	266	9032	Munch	wt	monomer
0.59	0	2500	0	0	164	   NA	4	1991	JBC	266	9032	Munch	wt	monomer
0.8	0	2500	0	0	198	   NA	4	1991	JBC	266	9032	Munch	wt	monomer
1	0	2500	0	0	205	   NA	4	1991	JBC	266	9032	Munch	wt	monomer
1.21	0	2500	0	0	211	   NA	4	1991	JBC	266	9032	Munch	wt	monomer
1.98	0	2500	0	0	222	   NA	4	1991	JBC	266	9032	Munch	wt	monomer
4.05	0	2500	0	0	241	   NA	4	1991	JBC	266	9032	Munch	wt	monomer
9.49	0	2500	0	0	282	   NA	4	1991	JBC	266	9032	Munch	wt	monomer
19.02	0	2500	0	0	312	   NA	4	1991	JBC	266	9032	Munch	wt	monomer
37.14	0	2500	0	0	416	   NA	4	1991	JBC	266	9032	Munch	wt	monomer
62.58	0	2500	0	0	465	   NA	4	1991	JBC	266	9032	Munch	wt	monomer
81.34	0	2500	0	0	484	   NA	4	1991	JBC	266	9032	Munch	wt	monomer
117.26	0	2500	0	0	523	   NA	4	1991	JBC	266	9032	Munch	wt	monomer
0	0.094	2000	0	0	  NA	4.4	2	1999	FEBS	443	170	Wang	wt	dimer
0	0.436	2000	0	0	  NA	20.7	2	1999	FEBS	443	170	Wang	wt	dimer
0	0.625	2000	0	0	  NA	33	2	1999	FEBS	443	170	Wang	wt	dimer
0	0.974	2000	0	0	  NA	49.3	2	1999	FEBS	443	170	Wang	wt	dimer
0	1.985	2000	0	0	  NA	94.1	2	1999	FEBS	443	170	Wang	wt	dimer
0	3.977	2000	0	0	  NA	171	2	1999	FEBS	443	170	Wang	wt	dimer
0	8.419	2000	0	0	  NA	245	2	1999	FEBS	443	170	Wang	wt	dimer
0	20.725	2000	0	0	  NA	400	2	1999	FEBS	443	170	Wang	wt	dimer
0	42.288	2000	0	0	  NA	499	2	1999	FEBS	443	170	Wang	wt	dimer
0	88.858	2000	0	0	  NA	646	2	1999	FEBS	443	170	Wang	wt	dimer
0	97.768	2000	0	0	  NA	701	2	1999	FEBS	443	170	Wang	wt	dimer
0	142.147	2000	0	0	  NA	715	2	1999	FEBS	443	170	Wang	wt	dimer
0.1	0	2000	0	0	57	   NA	2	1999	FEBS	443	170	Wang	wt	dimer
0.2	0	2000	0	0	80	   NA	2	1999	FEBS	443	170	Wang	wt	dimer
0.4	0	2000	0	0	110	   NA	2	1999	FEBS	443	170	Wang	wt	dimer
0.61	0	2000	0	0	142	   NA	2	1999	FEBS	443	170	Wang	wt	dimer
0.81	0	2000	0	0	150	   NA	2	1999	FEBS	443	170	Wang	wt	dimer
1.02	0	2000	0	0	162	   NA	2	1999	FEBS	443	170	Wang	wt	dimer
2.01	0	2000	0	0	231	   NA	2	1999	FEBS	443	170	Wang	wt	dimer
4.01	0	2000	0	0	286	   NA	2	1999	FEBS	443	170	Wang	wt	dimer
7.98	0	2000	0	0	324	   NA	2	1999	FEBS	443	170	Wang	wt	dimer
20.13	0	2000	0	0	471	   NA	2	1999	FEBS	443	170	Wang	wt	dimer
40.65	0	2000	0	0	561	   NA	2	1999	FEBS	443	170	Wang	wt	dimer
98.25	0	2000	0	0	616	   NA	2	1999	FEBS	443	170	Wang	wt	dimer
121.39	0	2000	0	0	630	   NA	2	1999	FEBS	443	170	Wang	wt	dimer
128.65	0	2000	0	0	660	   NA	2	1999	FEBS	443	170	Wang	wt	dimer
1	0	2000	0	0	160.1	   NA	t1	2003	JBC	278	6963	Wang	wt	dimer
2	0	2000	0	0	254.4	   NA	t1	2003	JBC	278	6963	Wang	wt	dimer
5	0	2000	0	0	398.9	   NA	t1	2003	JBC	278	6963	Wang	wt	dimer
11	0	2000	0	0	620.6	   NA	t1	2003	JBC	278	6963	Wang	wt	dimer
21	0	2000	0	0	763	   NA	t1	2003	JBC	278	6963	Wang	wt	dimer
41	0	2000	0	0	872.4	   NA	t1	2003	JBC	278	6963	Wang	wt	dimer
81	0	2000	0	0	1063	   NA	t1	2003	JBC	278	6963	Wang	wt	dimer
161	0	2000	0	0	1221.6	   NA	t1	2003	JBC	278	6963	Wang	wt	dimer
0	1	2000	0	0	   NA	99.7	t1	2003	JBC	278	6963	Wang	wt	dimer
0	2	2000	0	0	   NA	175.4	t1	2003	JBC	278	6963	Wang	wt	dimer
0	5	2000	0	0	   NA	317.6	t1	2003	JBC	278	6963	Wang	wt	dimer
0	11	2000	0	0	   NA	531.8	t1	2003	JBC	278	6963	Wang	wt	dimer
0	21	2000	0	0	   NA	640.9	t1	2003	JBC	278	6963	Wang	wt	dimer
0	41	2000	0	0	   NA	710.9	t1	2003	JBC	278	6963	Wang	wt	dimer
0	81	2000	0	0	   NA	842.5	t1	2003	JBC	278	6963	Wang	wt	dimer
0	161	2000	0	0	   NA	976.8	t1	2003	JBC	278	6963	Wang	wt	dimer
100	0	5	0	0	206	   NA	t2	2003	JBC	278	6963	Wang	wt	dimer
100	0	10	0	0	338	   NA	t2	2003	JBC	278	6963	Wang	wt	dimer
100	0	20	0	0	489	   NA	t2	2003	JBC	278	6963	Wang	wt	dimer
100	0	50	0	0	660	   NA	t2	2003	JBC	278	6963	Wang	wt	dimer
100	0	100	0	0	765	   NA	t2	2003	JBC	278	6963	Wang	wt	dimer
100	0	200	0	0	849	   NA	t2	2003	JBC	278	6963	Wang	wt	dimer
100	0	400	0	0	978	   NA	t2	2003	JBC	278	6963	Wang	wt	dimer
100	0	800	0	0	1045	   NA	t2	2003	JBC	278	6963	Wang	wt	dimer
100	0	2000	0	0	1085	   NA	t2	2003	JBC	278	6963	Wang	wt	dimer
0	100	5	0	0	   NA	111.9	t2	2003	JBC	278	6963	Wang	wt	dimer
0	100	10	0	0	   NA	226.9	t2	2003	JBC	278	6963	Wang	wt	dimer
0	100	20	0	0	   NA	285.8	t2	2003	JBC	278	6963	Wang	wt	dimer
0	100	50	0	0	   NA	412.9	t2	2003	JBC	278	6963	Wang	wt	dimer
0	100	100	0	0	   NA	454.7	t2	2003	JBC	278	6963	Wang	wt	dimer
0	100	200	0	0	   NA	511.9	t2	2003	JBC	278	6963	Wang	wt	dimer
0	100	400	0	0	   NA	641.9	t2	2003	JBC	278	6963	Wang	wt	dimer
0	100	800	0	0	   NA	725.7	t2	2003	JBC	278	6963	Wang	wt	dimer
0	100	2000	0	0	   NA	773.3	t2	2003	JBC	278	6963	Wang	wt	dimer
1	5	2000	0	0	151.7	   NA	t3	2003	JBC	278	6963	Wang	wt	dimer
2	5	2000	0	0	228.8	   NA	t3	2003	JBC	278	6963	Wang	wt	dimer
5	5	2000	0	0	348.4	   NA	t3	2003	JBC	278	6963	Wang	wt	dimer
11	5	2000	0	0	626.7	   NA	t3	2003	JBC	278	6963	Wang	wt	dimer
21	5	2000	0	0	762.1	   NA	t3	2003	JBC	278	6963	Wang	wt	dimer
41	5	2000	0	0	844.8	   NA	t3	2003	JBC	278	6963	Wang	wt	dimer
81	5	2000	0	0	1024.6	   NA	t3	2003	JBC	278	6963	Wang	wt	dimer
161	5	2000	0	0	1422.1	   NA	t3	2003	JBC	278	6963	Wang	wt	dimer
1	1	2000	0	0	   NA	88.4	t3	2003	JBC	278	6963	Wang	wt	dimer
1	2	2000	0	0	   NA	150.7	t3	2003	JBC	278	6963	Wang	wt	dimer
1	5	2000	0	0	   NA	291	t3	2003	JBC	278	6963	Wang	wt	dimer
1	11	2000	0	0	   NA	432.6	t3	2003	JBC	278	6963	Wang	wt	dimer
1	21	2000	0	0	   NA	582.7	t3	2003	JBC	278	6963	Wang	wt	dimer
1	41	2000	0	0	   NA	661.4	t3	2003	JBC	278	6963	Wang	wt	dimer
1	81	2000	0	0	   NA	698.9	t3	2003	JBC	278	6963	Wang	wt	dimer
1	161	2000	0	0	   NA	805.9	t3	2003	JBC	278	6963	Wang	wt	dimer
1	10	2000	0	0	108	   NA	t3	2003	JBC	278	6963	Wang	wt	dimer
2	10	2000	0	0	169.9	   NA	t3	2003	JBC	278	6963	Wang	wt	dimer
5	10	2000	0	0	281.9	   NA	t3	2003	JBC	278	6963	Wang	wt	dimer
11	10	2000	0	0	439.5	   NA	t3	2003	JBC	278	6963	Wang	wt	dimer
21	10	2000	0	0	611.6	   NA	t3	2003	JBC	278	6963	Wang	wt	dimer
41	10	2000	0	0	733.4	   NA	t3	2003	JBC	278	6963	Wang	wt	dimer
81	10	2000	0	0	857.8	   NA	t3	2003	JBC	278	6963	Wang	wt	dimer
161	10	2000	0	0	984.7	   NA	t3	2003	JBC	278	6963	Wang	wt	dimer
5	1	2000	0	0	   NA	69.5	t3	2003	JBC	278	6963	Wang	wt	dimer
5	2	2000	0	0	   NA	120.6	t3	2003	JBC	278	6963	Wang	wt	dimer
5	5	2000	0	0	   NA	233.3	t3	2003	JBC	278	6963	Wang	wt	dimer
5	11	2000	0	0	   NA	356.7	t3	2003	JBC	278	6963	Wang	wt	dimer
5	21	2000	0	0	   NA	534.5	t3	2003	JBC	278	6963	Wang	wt	dimer
5	41	2000	0	0	   NA	606	t3	2003	JBC	278	6963	Wang	wt	dimer
5	81	2000	0	0	   NA	708.5	t3	2003	JBC	278	6963	Wang	wt	dimer
5	161	2000	0	0	   NA	746.5	t3	2003	JBC	278	6963	Wang	wt	dimer
1	20	2000	0	0	86.7	   NA	t3	2003	JBC	278	6963	Wang	wt	dimer
