"dT"	"dC"	"ATP"	"dTTP"	"dCTP"	"VdT"	"VdC"	"fg"	"year"	"jrnl"	"vol"	"page"	"frstAut"	"seq"	"state"	"E"	"k"
0.4	0	2500	0	0	143	NA	"4"	1991	"JBC"	266	9032	"Munch"	"wt"	"monomer"	0.00137	0.0692829457364341
0.59	0	2500	0	0	164	NA	"4"	1991	"JBC"	266	9032	"Munch"	"wt"	"monomer"	0.00137	0.0794573643410853
0.8	0	2500	0	0	198	NA	"4"	1991	"JBC"	266	9032	"Munch"	"wt"	"monomer"	0.00137	0.0959302325581395
1	0	2500	0	0	205	NA	"4"	1991	"JBC"	266	9032	"Munch"	"wt"	"monomer"	0.00137	0.0993217054263566
1.21	0	2500	0	0	211	NA	"4"	1991	"JBC"	266	9032	"Munch"	"wt"	"monomer"	0.00137	0.102228682170543
1.98	0	2500	0	0	222	NA	"4"	1991	"JBC"	266	9032	"Munch"	"wt"	"monomer"	0.00137	0.107558139534884
4.05	0	2500	0	0	241	NA	"4"	1991	"JBC"	266	9032	"Munch"	"wt"	"monomer"	0.00137	0.116763565891473
9.49	0	2500	0	0	282	NA	"4"	1991	"JBC"	266	9032	"Munch"	"wt"	"monomer"	0.00137	0.136627906976744
19.02	0	2500	0	0	312	NA	"4"	1991	"JBC"	266	9032	"Munch"	"wt"	"monomer"	0.00137	0.151162790697674
37.14	0	2500	0	0	416	NA	"4"	1991	"JBC"	266	9032	"Munch"	"wt"	"monomer"	0.00137	0.201550387596899
62.58	0	2500	0	0	465	NA	"4"	1991	"JBC"	266	9032	"Munch"	"wt"	"monomer"	0.00137	0.225290697674419
81.34	0	2500	0	0	484	NA	"4"	1991	"JBC"	266	9032	"Munch"	"wt"	"monomer"	0.00137	0.234496124031008
117.26	0	2500	0	0	523	NA	"4"	1991	"JBC"	266	9032	"Munch"	"wt"	"monomer"	0.00137	0.253391472868217
0	0.767	2500	0	0	NA	18.8	"4"	1991	"JBC"	266	9032	"Munch"	"wt"	"monomer"	0.00137	0.00910852713178295
0	2.924	2500	0	0	NA	69.6	"4"	1991	"JBC"	266	9032	"Munch"	"wt"	"monomer"	0.00137	0.0337209302325581
0	6.075	2500	0	0	NA	113	"4"	1991	"JBC"	266	9032	"Munch"	"wt"	"monomer"	0.00137	0.0547480620155039
0	10.299	2500	0	0	NA	207	"4"	1991	"JBC"	266	9032	"Munch"	"wt"	"monomer"	0.00137	0.100290697674419
0	13.933	2500	0	0	NA	248	"4"	1991	"JBC"	266	9032	"Munch"	"wt"	"monomer"	0.00137	0.12015503875969
0	20.201	2500	0	0	NA	301	"4"	1991	"JBC"	266	9032	"Munch"	"wt"	"monomer"	0.00137	0.145833333333333
0	28.723	2500	0	0	NA	405	"4"	1991	"JBC"	266	9032	"Munch"	"wt"	"monomer"	0.00137	0.196220930232558
0	51.538	2500	0	0	NA	536	"4"	1991	"JBC"	266	9032	"Munch"	"wt"	"monomer"	0.00137	0.25968992248062
0	58.846	2500	0	0	NA	612	"4"	1991	"JBC"	266	9032	"Munch"	"wt"	"monomer"	0.00137	0.296511627906977
0	103.886	2500	0	0	NA	695	"4"	1991	"JBC"	266	9032	"Munch"	"wt"	"monomer"	0.00137	0.336724806201550
0.1	0	2000	0	0	57	NA	"2"	1999	"FEBS"	443	170	"Wang"	"wt"	"dimer"	0.00375	0.0276162790697674
0.2	0	2000	0	0	80	NA	"2"	1999	"FEBS"	443	170	"Wang"	"wt"	"dimer"	0.00375	0.0387596899224806
0.4	0	2000	0	0	110	NA	"2"	1999	"FEBS"	443	170	"Wang"	"wt"	"dimer"	0.00375	0.0532945736434109
0.61	0	2000	0	0	142	NA	"2"	1999	"FEBS"	443	170	"Wang"	"wt"	"dimer"	0.00375	0.0687984496124031
0.81	0	2000	0	0	150	NA	"2"	1999	"FEBS"	443	170	"Wang"	"wt"	"dimer"	0.00375	0.0726744186046512
1.02	0	2000	0	0	162	NA	"2"	1999	"FEBS"	443	170	"Wang"	"wt"	"dimer"	0.00375	0.0784883720930233
2.01	0	2000	0	0	231	NA	"2"	1999	"FEBS"	443	170	"Wang"	"wt"	"dimer"	0.00375	0.111918604651163
4.01	0	2000	0	0	286	NA	"2"	1999	"FEBS"	443	170	"Wang"	"wt"	"dimer"	0.00375	0.138565891472868
7.98	0	2000	0	0	324	NA	"2"	1999	"FEBS"	443	170	"Wang"	"wt"	"dimer"	0.00375	0.156976744186047
