"T","C","state","V","year"
0.05,0,"dimer",5.80608055638457,2003
0.1,0,"dimer",9.54503971816632,2003
0.25,0,"dimer",14.0112214314542,2003
0.5,0,"dimer",19.4135568972378,2003
1,0,"dimer",28.2656136276002,2003
1.5,0,"dimer",33.134615857514,2003
2,0,"dimer",38.7826815136195,2003
3,0,"dimer",52.8333287943571,2003
4,0,"dimer",55.5797328377657,2003
5,0,"dimer",62.4822283601797,2003
7.5,0,"dimer",86.4304373643616,2003
10,0,"dimer",99.9529852305074,2003
12.5,0,"dimer",112.962353765652,2003
15,0,"dimer",136.585698989028,2003
20,0,"dimer",148.919047148815,2003
30,0,"dimer",198.388736930319,2003
40,0,"dimer",218.363539274516,2003
50,0,"dimer",264.609716939159,2003
75,0,"dimer",274.367902985605,2003
100,0,"dimer",322.521901933463,2003
150,0,"dimer",368.555874956582,2003
200,0,"dimer",378.048761766328,2003
0,0.05,"dimer",1.09064759729968,2003
0,0.1,"dimer",2.37664271240473,2003
0,0.25,"dimer",5.44132970026393,2003
0,0.5,"dimer",9.90585413477648,2003
0,1,"dimer",19.7506769279119,2003
0,1.5,"dimer",28.2574072760351,2003
0,2,"dimer",32.8118111270475,2003
0,3,"dimer",43.8344280330674,2003
0,4,"dimer",52.7393719083203,2003
0,5,"dimer",62.6010790284195,2003
0,7.5,"dimer",75.3656379175905,2003
0,10,"dimer",91.083975026701,2003
0,12.5,"dimer",100.159295399770,2003
0,15,"dimer",103.339645399770,2003
0,20,"dimer",130.425097892054,2003
0,30,"dimer",140.058212922473,2003
0,40,"dimer",167.432303147078,2003
0,50,"dimer",176.214147854249,2003
0,75,"dimer",194.886954199103,2003
0,100,"dimer",186.724955568376,2003
0,150,"dimer",222.075995163125,2003
0,200,"dimer",233.076269810400,2003
0,300,"dimer",241.028352108436,2003
0.05,0,"tetramer",8.56123640893878,2003
0.1,0,"tetramer",12.6049877875530,2003
0.25,0,"tetramer",19.5252037689511,2003
0.5,0,"tetramer",26.9869818464808,2003
1,0,"tetramer",33.3872112737240,2003
1.5,0,"tetramer",41.182822658568,2003
2,0,"tetramer",45.6788630810593,2003
3,0,"tetramer",61.9393567838129,2003
4,0,"tetramer",65.0950418343306,2003
5,0,"tetramer",75.6516094856849,2003
7.5,0,"tetramer",92.7659047102009,2003
10,0,"tetramer",128.285194760767,2003
12.5,0,"tetramer",127.540759218690,2003
15,0,"tetramer",148.497643515212,2003
20,0,"tetramer",171.669997846483,2003
30,0,"tetramer",198.392576538966,2003
40,0,"tetramer",231.914595933104,2003
50,0,"tetramer",251.138980939000,2003
75,0,"tetramer",294.7718297675,2003
100,0,"tetramer",305.998738459279,2003
150,0,"tetramer",341.099126002253,2003
200,0,"tetramer",373.378008840333,2003
0,0.05,"tetramer",2.4120216560364,2003
0,0.1,"tetramer",4.70213344195033,2003
0,0.25,"tetramer",10.697958423924,2003
0,0.5,"tetramer",18.2370830175963,2003
0,1,"tetramer",30.4506335026566,2003
0,1.5,"tetramer",42.7918347373907,2003
0,2,"tetramer",51.5022336412941,2003
0,3,"tetramer",64.1910294854465,2003
0,4,"tetramer",72.757459545683,2003
0,5,"tetramer",81.9978104585076,2003
0,7.5,"tetramer",98.7100193902678,2003
0,10,"tetramer",109.361639963238,2003
0,12.5,"tetramer",116.645268601442,2003
0,15,"tetramer",121.662952546188,2003
0,20,"tetramer",128.868295220871,2003
0,30,"tetramer",155.289510006901,2003
0,40,"tetramer",163.633543880592,2003
0,50,"tetramer",171.580132296623,2003
0,75,"tetramer",192.161946002383,2003
0,100,"tetramer",193.661946002383,2003
0,150,"tetramer",209.204714640199,2003
0,200,"tetramer",223.308852989400,2003
0,300,"tetramer",231.265295367083,2003
0.05,0,"dimer",180.185743809441,2005
0.1,0,"dimer",235.210084418984,2005
0.25,0,"dimer",247.510075966425,2005
0.5,0,"dimer",329.843929989563,2005
1,0,"dimer",344.855219137273,2005
1.5,0,"dimer",375.797340239492,2005
2,0,"dimer",407.782122075745,2005
3,0,"dimer",440.561802748427,2005
4,0,"dimer",457.164479570453,2005
5,0,"dimer",473.860982366766,2005
7.5,0,"dimer",519.11368000095,2005
10,0,"dimer",556.382152956134,2005
12.5,0,"dimer",568.742534403046,2005
15,0,"dimer",602.819699949765,2005
20,0,"dimer",620.380063058941,2005
30,0,"dimer",668.098350525669,2005
40,0,"dimer",678.184249221548,2005
50,0,"dimer",712.929263697626,2005
75,0,"dimer",733.143999001306,2005
100,0,"dimer",734.518499001306,2005
150,0,"dimer",747.753490278164,2005
200,0,"dimer",805.21141641096,2005
300,0,"dimer",787.550853042843,2005
0,0.05,"dimer",6.39043352662152,2005
0,0.1,"dimer",14.0773610058427,2005
0,0.25,"dimer",32.3612529857542,2005
0,0.5,"dimer",59.4058326766574,2005
0,1,"dimer",98.3070076979365,2005
0,1.5,"dimer",139.575472126464,2005
0,2,"dimer",159.987942345248,2005
0,3,"dimer",181.708611283248,2005
0,4,"dimer",227.609465241512,2005
0,5,"dimer",259.889578976643,2005
0,7.5,"dimer",292.280725777929,2005
0,10,"dimer",328.519264120241,2005
0,12.5,"dimer",347.282603706202,2005
0,15,"dimer",352.88467607901,2005
0,20,"dimer",385.178126434730,2005
0,30,"dimer",403.859131331587,2005
0,40,"dimer",427.336360437435,2005
0,50,"dimer",426.233478231616,2005
0,75,"dimer",440.365058327079,2005
0,100,"dimer",448.516300836739,2005
0,150,"dimer",448.042717499237,2005
0,200,"dimer",447.141800836739,2005
0,300,"dimer",443.073302340052,2005
0.05,0,"tetramer",118.161500933937,2005
0.1,0,"tetramer",159.065366308065,2005
0.25,0,"tetramer",189.041035371245,2005
0.5,0,"tetramer",249.131204316451,2005
1,0,"tetramer",338.856414711591,2005
