S,V
6.59126E-1,1.26418E+0
6.48616E-1,1.01532E+1
6.38106E-1,1.90422E+1
1.30024E+0,2.66642E+1
1.96236E+0,3.42862E+1
1.95486E+0,4.06355E+1
3.28212E+0,5.33398E+1
5.28352E+0,6.35072E+1
7.94104E+0,8.63760E+1
1.06091E+1,1.00356E+2
1.39513E+1,1.11799E+2
1.59346E+1,1.37204E+2
2.06176E+1,1.49923E+2
3.06231E+1,2.02030E+2
4.06691E+1,2.19850E+2
5.06821E+1,2.65608E+2
7.55007E+1,2.77142E+2
1.00947E+2,3.25504E+2
1.51228E+2,3.71432E+2
2.00879E+2,3.83071E+2
6.57625E-1,2.53404E+0
1.98038E+0,1.90479E+1
3.29563E+0,4.19110E+1
5.28502E+0,6.22373E+1
7.95306E+0,7.62171E+1
1.12907E+1,9.14696E+1
1.32951E+1,9.90973E+1
1.59722E+1,1.05458E+2
2.06371E+1,1.33415E+2
3.06952E+1,1.41077E+2
4.07292E+1,1.69056E+2
5.07842E+1,1.79258E+2
7.55968E+1,1.95871E+2
1.01108E+2,1.89629E+2
1.51402E+2,2.24129E+2
2.01055E+2,2.34498E+2
3.00374E+2,2.42537E+2
