S,V
4.77E-01,1.22E+00
4.68E-01,8.57E+00
4.62E-01,1.35E+01
4.56E-01,1.84E+01
1.12E+00,2.69E+01
1.11E+00,3.18E+01
1.77E+00,4.04E+01
2.44E+00,4.65E+01
3.09E+00,5.88E+01
3.76E+00,6.37E+01
5.08E+00,7.59E+01
7.75E+00,9.43E+01
1.11E+01,1.26E+02
1.31E+01,1.30E+02
1.51E+01,1.49E+02
2.04E+01,1.70E+02
3.04E+01,1.96E+02
4.05E+01,2.34E+02
5.05E+01,2.50E+02
7.53E+01,2.92E+02
1.01E+02,3.07E+02
1.51E+02,3.41E+02
2.01E+02,3.72E+02
4.76E-01,2.45E+00
1.12E+00,2.57E+01
3.77E+00,5.14E+01
6.42E+00,7.72E+01
7.74E+00,9.92E+01
1.11E+01,1.09E+02
1.51E+01,1.23E+02
1.98E+01,1.30E+02
2.98E+01,1.57E+02
4.05E+01,1.63E+02
4.99E+01,1.72E+02
7.54E+01,1.91E+02
1.01E+02,1.94E+02
1.51E+02,2.09E+02
2.00E+02,2.24E+02
3.00E+02,2.31E+02
