s,v
0         ,2.74914E+0
0.00000E+0,1.70447E+2
0.00000E+0,2.28179E+2
0.00000E+0,2.50172E+2
0.00000E+0,3.21649E+2
6.91244E-1,3.32646E+2
1.38249E+0,3.65636E+2
1.38249E+0,3.93127E+2
2.07373E+0,4.04124E+2
3.45622E+0,4.34364E+2
4.14747E+0,4.61856E+2
6.91244E+0,5.14089E+2
9.67742E+0,5.55326E+2
1.17512E+1,5.63574E+2
1.45161E+1,5.99313E+2
1.93548E+1,6.18557E+2
2.97235E+1,6.68041E+2
3.94009E+1,6.73539E+2
4.97696E+1,7.14777E+2
7.46544E+1,7.28522E+2
9.95392E+1,7.31271E+2
1.50000E+2,7.45017E+2
1.99770E+2,8.02749E+2
3.00000E+2,7.89003E+2
6.91244E-1,1.37457E+1
2.07373E+0,2.74914E+1
6.91244E-1,5.77320E+1
1.38249E+0,9.07216E+1
2.07373E+0,1.31959E+2
2.76498E+0,1.56701E+2
3.45622E+0,1.95189E+2
4.14747E+0,2.19931E+2
4.83871E+0,2.61168E+2
6.91244E+0,2.88660E+2
9.67742E+0,3.27148E+2
1.24424E+1,3.46392E+2
1.45161E+1,3.51890E+2
1.93548E+1,3.82131E+2
2.97235E+1,4.04124E+2
4.00922E+1,4.26117E+2
4.97696E+1,4.26117E+2
7.46544E+1,4.39863E+2
1.00230E+2,4.48110E+2
1.50000E+2,4.48110E+2
1.99770E+2,4.45361E+2
3.00000E+2,4.42612E+2
