logS,logVoverVmmV
5.03754E-2,2.20326E-1
1.01395E-1,3.08355E-1
2.47857E-1,3.29798E-1
4.98884E-1,4.93663E-1
1.00415E+0,5.27992E-1
1.53975E+0,6.03979E-1
2.02113E+0,6.90901E-1
2.98106E+0,7.90333E-1
4.06810E+0,8.45293E-1
4.94060E+0,9.04075E-1
7.57589E+0,1.10610E+0
9.94437E+0,1.26529E+0
1.20772E+1,1.35328E+0
1.52486E+1,1.54804E+0
2.00159E+1,1.65569E+0
2.95224E+1,2.02567E+0
3.87520E+1,2.16654E+0
4.89283E+1,2.47834E+0
7.50265E+1,2.83501E+0
9.84823E+1,2.83501E+0
1.45256E+2,3.03216E+0
1.98224E+2,4.24363E+0
2.92369E+2,3.70974E+0
5.03754E-2,1.39954E-2
1.01395E-1,3.13581E-2
2.47857E-1,7.51471E-2
4.98884E-1,1.47192E-1
1.00415E+0,2.69561E-1
1.53975E+0,4.31555E-1
2.02113E+0,5.27992E-1
2.98106E+0,6.45980E-1
3.91304E+0,9.66944E-1
4.94060E+0,1.26529E+0
7.57589E+0,1.77082E+0
9.94437E+0,2.47834E+0
1.25558E+1,3.03216E+0
1.52486E+1,3.24301E+0
2.00159E+1,5.19193E+0
2.95224E+1,6.79386E+0
4.02877E+1,1.24420E+1
4.89283E+1,1.16330E+1
7.50265E+1,1.99191E+1
9.84823E+1,3.18896E+1
1.51012E+2,2.98162E+1
1.98224E+2,3.18896E+1
2.92369E+2,2.27858E+1
