logS,logVoverVmmV
5.23717E-2,1.03393E-1
1.01395E-1,1.44351E-1
2.57679E-1,1.76351E-1
4.98884E-1,2.46209E-1
1.00415E+0,3.67466E-1
1.53975E+0,4.48925E-1
2.02113E+0,5.13033E-1
3.09919E+0,6.70019E-1
4.06810E+0,6.70019E-1
5.13638E+0,8.18547E-1
7.57589E+0,1.06902E+0
1.03384E+1,1.30600E+0
1.25558E+1,1.59551E+0
1.52486E+1,1.82335E+0
2.08091E+1,1.82335E+0
2.95224E+1,2.54564E+0
4.18842E+1,2.72134E+0
5.08672E+1,3.10995E+0
7.79996E+1,3.79936E+0
1.02385E+2,4.34191E+0
1.56996E+2,4.96195E+0
2.06079E+2,6.06190E+0
3.03955E+2,7.40568E+0
5.03754E-2,1.39614E-2
1.01395E-1,2.90916E-2
2.47857E-1,6.92755E-2
5.18653E-1,1.35031E-1
1.00415E+0,2.63202E-1
1.48106E+0,3.67466E-1
2.02113E+0,4.79910E-1
2.98106E+0,5.48442E-1
4.06810E+0,9.35437E-1
4.94060E+0,1.06902E+0
7.57589E+0,1.39614E+0
1.03384E+1,1.59551E+0
1.30533E+1,1.94919E+0
1.52486E+1,2.08373E+0
2.08091E+1,3.55406E+0
3.06923E+1,4.34191E+0
4.18842E+1,6.06190E+0
5.08672E+1,7.91682E+0
7.79996E+1,9.04736E+0
1.02385E+2,1.10530E+1
1.56996E+2,1.64965E+1
2.06079E+2,2.30313E+1
3.03955E+2,3.00788E+1
