VoverS	V	S
6.69E-03	6.95E-01	dC
1.04E-02	6.12E-01	dC
1.04E-02	5.36E-01	dC
1.41E-02	4.05E-01	dC
1.49E-02	3.01E-01	dC
1.78E-02	2.48E-01	dC
2.01E-02	2.07E-01	dC
1.86E-02	1.13E-01	dC
2.38E-02	6.96E-02	dC
2.45E-02	1.88E-02	dC
4.46E-03	5.23E-01	dT
5.95E-03	4.84E-01	dT
7.43E-03	4.65E-01	dT
1.12E-02	4.16E-01	dT
1.64E-02	3.12E-01	dT
2.97E-02	2.82E-01	dT
5.95E-02	2.41E-01	dT
1.12E-01	2.22E-01	dT
1.75E-01	2.11E-01	dT
2.04E-01	2.05E-01	dT
2.48E-01	1.98E-01	dT
2.76E-01	1.64E-01	dT
3.58E-01	1.43E-01	dT
