VoverS	V	S
5.03E+00	7.15E+02	dC
7.17E+00	7.01E+02	dC
7.27E+00	6.46E+02	dC
1.18E+01	4.99E+02	dC
1.93E+01	4.00E+02	dC
2.91E+01	2.45E+02	dC
4.30E+01	1.71E+02	dC
4.74E+01	9.41E+01	dC
5.06E+01	4.93E+01	dC
5.28E+01	3.30E+01	dC
4.75E+01	2.07E+01	dC
4.65E+01	4.39E+00	dC
5.13E+00	6.60E+02	dT
5.19E+00	6.30E+02	dT
6.27E+00	6.16E+02	dT
1.38E+01	5.61E+02	dT
2.34E+01	4.71E+02	dT
4.06E+01	3.24E+02	dT
7.13E+01	2.86E+02	dT
1.15E+02	2.31E+02	dT
1.59E+02	1.62E+02	dT
1.85E+02	1.50E+02	dT
2.34E+02	1.42E+02	dT
2.73E+02	1.10E+02	dT
3.99E+02	8.02E+01	dT
5.63E+02	5.68E+01	dT
