dTinv	Vinv	dC
5.30E-03	1.19E+00	20
1.17E-02	1.40E+00	20
2.35E-02	1.79E+00	20
4.73E-02	2.21E+00	20
8.93E-02	2.89E+00	20
2.00E-01	4.40E+00	20
4.99E-01	7.24E+00	20
4.41E-03	1.01E+00	10
1.26E-02	1.15E+00	10
2.27E-02	1.34E+00	10
4.64E-02	1.63E+00	10
8.94E-02	2.29E+00	10
2.00E-01	3.53E+00	10
4.98E-01	5.88E+00	10
4.45E-03	7.84E-01	5
1.18E-02	9.49E-01	5
2.36E-02	1.13E+00	5
4.65E-02	1.45E+00	5
8.95E-02	1.61E+00	5
2.00E-01	2.84E+00	5
4.98E-01	4.36E+00	5
4.42E-03	9.48E-01	0
1.27E-02	1.03E+00	0
2.45E-02	1.24E+00	0
4.65E-02	1.28E+00	0
8.95E-02	1.59E+00	0
1.99E-01	2.51E+00	0
4.98E-01	3.93E+00	0
