# This RNR data was obtained partly from the authors (data in Fig 2 of BMC 2005) and also using Plot Digitizer (e.g. those in scientific notation).																								
# values of zero leading a seqence of increasing concentrations were set to 1e-2 (essentially zero) to allow [x]>0 subsetting.																								
#R1	R2	UDP	CDP	GDP	ADP	dTTP	dTTPf	dGTP	dGTPf	dATP	dATPf	ATP	Mg	v	mass	n	fg	year	jrnl	vol	page	frstAut	organism	
R	r 	U 	C 	G 	A 	t	tf	g	gf	a	af	X	Mg	v	m	n	fg	year	jrnl	vol	page	frstAut	organism	
0.2	0	0	0	0	0	5	NA	0	NA	0	0	0	0	0	145	NA	NA	2008	NA	NA	NA	sanath	yeast	
0.2	0	0	0	0	0	10	NA	0	NA	0	0	0	0	0	180	NA	NA	2008	NA	NA	NA	sanath	yeast	
0.1	0	0	0	0	0	10	NA	0	NA	0	0	0	0	0	180	NA	NA	2008	NA	NA	NA	sanath	yeast	
0.05	0	0	0	0	0	10	NA	0	NA	0	0	0	0	0	180	NA	NA	2008	NA	NA	NA	sanath	yeast	
0.05	0	0	0	0	0	20	NA	0	NA	0	0	0	0	0	171	NA	NA	2008	NA	NA	NA	sanath	yeast	
0.02	0	0	0	0	0	20	NA	0	NA	0	0	0	0	0	90	NA	NA	2008	NA	NA	NA	sanath	yeast	
0.01	0	0	0	0	0	20	NA	0	NA	0	0	0	0	0	162	NA	NA	2008	NA	NA	NA	sanath	yeast	
2.7	0	0	0	0	0	0	NA	0	NA	0	0	0	6000	0	94.065	NA	1	2006	JBC	281	27705	Rofougaran	mouse	
2.7	0	0	0	0	0	100	NA	0	NA	0	0	0	6000	0	175.692	NA	1	2006	JBC	281	27705	Rofougaran	mouse	
0.135	0	0	0	0	0	100	NA	0	NA	0	0	0	6000	0	168.85	NA	1	2006	JBC	281	27705	Rofougaran	mouse	
0.44	1.76	0	500	0	0	0	NA	0	NA	0	0	0	6000	14.62141	NA	NA	6	2006	JBC	281	27705	Rofougaran	mouse	
0.44	1.76	0	500	0	0	0	NA	0	NA	0	0	100	6000	40.03481	NA	NA	6	2006	JBC	281	27705	Rofougaran	mouse	
0.44	1.76	0	500	0	0	0	NA	0	NA	0	0	250	6000	57.78938	NA	NA	6	2006	JBC	281	27705	Rofougaran	mouse	
0.44	1.76	0	500	0	0	0	NA	0	NA	0	0	500	6000	81.8973	NA	NA	6	2006	JBC	281	27705	Rofougaran	mouse	
0.44	1.76	0	500	0	0	0	NA	0	NA	0	0	1000	6000	92.86336	NA	NA	6	2006	JBC	281	27705	Rofougaran	mouse	
